sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
2,1.017199974739924e-05,5.100002454128116e-06,2.872999175451696e-06,1.1733005521818995e-05,6.784001016058028e-06
4,5.073001375421882e-06,5.878006049897522e-06,3.249995643272996e-06,1.4001001545693725e-05,6.613001460209489e-06
8,1.455999881727621e-05,1.1773001460824162e-05,6.880996807012707e-06,2.9235001420602202e-05,2.0717998268082738e-05
16,5.3518000640906394e-05,3.0828996386844665e-05,2.4223001673817635e-05,5.3798001317773014e-05,1.8159000319428742e-05
32,0.00012043399328831583,5.691700062016025e-05,4.934900061925873e-05,8.396000339416787e-05,3.957399894716218e-05
64,0.0006172230059746653,0.00019340899598319083,0.00016095599858090281,0.00018148800154449418,8.942999556893483e-05
128,0.0019056649980484508,0.0007341500022448599,0.0006618350016651675,0.0004056910038343631,0.00020439200307009742
256,0.007053875000565313,0.0028355070026009344,0.00242859900026815,0.0008870339952409267,0.000439023002400063
512,0.03602111899817828,0.012179254001239315,0.011731783000868745,0.0019512260041665286,0.0009674959947005846
1024,0.14794393999909516,0.0504916699937894,0.05192318400077056,0.004284713002562057,0.0020968629978597164
2048,0.6319556450034725,0.19805211199854966,0.21590762399864616,0.009308138993219472,0.004613928998878691
4096,2.5279220820011687,0.812815627999953,0.8456152860017028,0.01973295700008748,0.010026167001342401
8192,10.247663195994392,3.252844709000783,3.432632444004412,0.042552730003080796,0.022023014003934804
16384,42.98774425400188,13.234475798002677,14.06866766299936,0.0915372719973675,0.04863861000194447
32768,181.0525137029981,58.66804194299766,58.268371283003944,0.19729096599621698,0.10565993699856335
65536,711.5441508670046,290.3625383710023,226.14908675499464,0.41904783099744236,0.2265795889979927
131072,2818.7019206179975,1250.7712627710061,925.4465184639994,0.88846995899803,0.47483856399776414
262144,11412.410777963,5112.859877192001,3652.9347397640013,1.8838938499975484,0.9914844099985203
