sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
10000,14.818888115001755,4.801797264000925,5.177203876999556,0.05548413299766253,0.029899812001531245
20000,59.6966526239994,19.29952641500131,20.66030656300063,0.1185989609984972,0.064149797999562
30000,135.15402537800037,44.164442166998924,45.95245577600144,0.18305889300245326,0.10027572000035434
40000,240.46683732100064,80.34947581400047,82.55836891900253,0.2526298860029783,0.137137416000769
50000,382.704129542999,128.45875513100327,129.06043473200043,0.3202035229987814,0.17488406900156406
60000,550.236133350998,188.27286754300076,187.08555685999818,0.38998305699715274,0.21320355599891627
70000,748.6669672669996,259.6747079780034,253.3099571690036,0.46455862499715295,0.25129182799719274
80000,996.3444896910005,341.1899050190041,339.33114598999964,0.5393815979987266,0.2885786070037284
90000,1244.6041164919952,435.70185919299547,419.8837684090031,0.6108849230004125,0.32665279799402924
100000,1563.9675618679976,538.5671319579997,529.1550265739934,0.6806710889941314,0.3665332410018891
