sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
3,6.961010512895882e-06,4.125991836190224e-06,2.0279985619708896e-06,1.1629002983681858e-05,4.439003532752395e-06
9,1.22560013551265e-05,8.083006832748652e-06,6.753994966857135e-06,2.74090125458315e-05,1.3999000657349825e-05
27,8.12700018286705e-05,3.986900264862925e-05,2.8879992896690965e-05,6.663800741080195e-05,3.7856996641494334e-05
81,0.0007451559940818697,0.0003019760042661801,0.00027551599487196654,0.00024312200548592955,0.00010889700206462294
243,0.006439113989472389,0.0026569949986878783,0.0021848039905307814,0.0008412689930992201,0.00039324400131590664
729,0.07081654499052092,0.025017120002303272,0.025861390997306444,0.002976071002194658,0.0014453479961957783
2187,0.7159785209951224,0.22893906899844296,0.25238520601124037,0.01015727300546132,0.005003415993996896
6561,6.568691897002282,2.167679384991061,2.2676107049919665,0.033980883003096096,0.01771784300217405
19683,91.54969943100878,31.51152584599913,26.84222040900204,0.14361170599295292,0.07891521499550436
59049,709.2916796049976,325.46527189499466,208.45296475400392,0.4831495360122062,0.24915767498896457
177147,5346.059363731998,2606.041467328003,1821.9775379700004,1.4963187349931104,0.846385206998093
