sample size,bubble sort,selection sort,insertion sort,merge sort,quicksort
3,4,3,3,3,3
9,64,36,27,23,27
27,494,351,194,124,151
81,5520,3240,1835,542,666
243,52030,29403,14379,2157,2679
729,488488,265356,134949,8182,10380
2187,4673668,2390391,1197592,29673,38258
6561,42397280,21520080,10787969,104727,135953
19683,383385678,193700403,97060704,361006,472791
59049,3454898480,1743362676,872820410,1223191,1613640
177147,31293195192,15690441231,7856404853,4092224,5425916
